SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,-1.2774445836787656,-1.1603229160349193,-0.9926105235902257,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,0.06632741908223598,-0.2596289419448806,-0.17216470898960817,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
0,-1.2367242199587352,-0.3626603559551803,-0.9580659010627455,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0.5142514200025698,-0.7465354629935549,-0.1936723762720431,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
0,-1.2367242199587352,0.19736523310080326,-0.9388744441030343,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,-0.9924020376385531,1.1595456961969886,-0.6437892489880273,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
0,-0.4223169455581282,0.8089065291619363,-0.14573785216462656,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
0,-0.9109613101984924,-1.1636465100352518,-0.8725867105812734,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,-0.1779947632379461,1.330710787214099,0.33808539553347106,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0
0,1.2064976032430856,-0.28621769394753876,0.5330441272690194,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,-0.7888002190384014,-0.4922805219681379,-0.7466069281710316,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,-0.6666391278783103,-1.5225946620711341,-0.8616012559077836,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
0,1.0436161483629645,1.182810854199314,1.5006244452274227,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0
0,0.6771328748826912,1.2941512532104444,1.2161496993050833,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
0,-0.30015585439803716,1.3539759452164248,0.17925954483241316,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0
0,1.4915401492832983,1.611554480242174,2.4774254861848592,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
0,0.7992939660427822,-1.4660935640654862,-0.5544717671146129,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
0,1.5729808767233588,1.393859073220412,2.251142767227713,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
0,-0.9109613101984924,-0.31779183695069496,-0.7726808386611219,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
0,-0.46303730927815856,0.8404806721650927,-0.18390017462474187,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0
1,-1.2774445836787656,-0.8346107040023594,-0.988286930987808,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
0,-0.8295205827584317,-1.4943441130683104,-0.9165505884211634,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
0,-1.2774445836787656,-1.4827115340671475,-0.9968899979007819,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
0,1.0436161483629645,-0.1615829189350795,0.5406104143232504,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0
0,0.6771328748826912,-0.17155370093607614,0.3046657894484568,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,-0.0965540357978854,-0.31446824295036285,-0.33050525848019063,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0.5956921474426305,1.1495749141959914,1.0894640242250588,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
0,-1.2774445836787656,-1.1486903370337564,-0.9924561095687108,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1.6137012404433893,0.8471278601657574,1.8043127072554035,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0
0,-0.62591876415828,-0.0020504069191315333,-0.5235227853738373,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
1,1.5729808767233588,1.0498670941860242,1.9796829174044883,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0
1,-1.2367242199587352,1.0216165451832002,-0.9256389565446128,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0
0,-0.21871512695797646,0.046141706085686136,-0.1788045119147496,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
0,-1.2774445836787656,-1.481049737066981,-0.9968679387548512,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
1,-1.2774445836787656,-0.6484894399837535,-0.9858163066435692,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.6137012404433893,1.1678546811978192,2.193546337202649,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
0,-1.1145631287986442,0.16412929309748078,-0.8659689668020626,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,0.5549717837226001,0.33363258711442517,0.5596695164073775,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
0,0.06632741908223598,1.3822264942192488,0.5600886401800608,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
0,-0.8702409464784621,1.099721004191008,-0.5180962354748845,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
0,-0.9109613101984924,-0.5055748979694671,-0.7959091193261516,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1.5322605130033284,0.14751132309581955,1.1438177597983101,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0
0,-0.62591876415828,-1.462769970065154,-0.8212550780005288,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
0,1.247217966963116,0.5014740841312035,1.1390088659854167,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0
0,-0.7888002190384014,0.3801629031190768,-0.5727808582370959,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
0,0.6771328748826912,0.6560212051466532,0.7177894744386527,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
0,-1.2367242199587352,-0.5155456799704636,-0.9629850906052922,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,-1.2367242199587352,0.5280628361338618,-0.9421833159926397,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
0,0.7992939660427822,0.4981504901308714,0.8550414804194837,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0
0,1.4915401492832983,-0.020330173920958795,0.8710564203651738,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0
1,0.43281069256250915,0.8471278601657574,0.6878110951188281,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
0,-0.7073594915983407,1.141265929195161,-0.37647651859977455,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0
1,-0.30015585439803716,0.1574821050968162,-0.23254059140194083,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
1,-0.9924020376385531,0.5280628361338618,-0.7263786913525774,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1,1.125056875803025,0.33529438411459117,0.9602856656548654,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0
1,-0.5851984004382496,1.0199547481830342,-0.2325847096938023,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
0,1.247217966963116,1.1595456961969886,1.778613802246135,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0
1,1.369379058123207,1.4520219682262263,2.1161849124236753,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0
0,0.06632741908223598,-1.3231790220511994,-0.6112299495943104,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
0,1.6137012404433893,1.42044782522307,2.459138454208307,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0
0,0.5956921474426305,1.1877962451998125,1.0709122824973383,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
0,1.125056875803025,0.8354952811645946,1.3989759007787455,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,1.6137012404433893,-0.7531826509942192,0.3010039712239601,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,-0.5851984004382496,-0.34438058895335305,-0.5835236623053481,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0
0,-0.9516816739185228,0.9850570111795457,-0.6275757767289609,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0,-1.1960038562387048,0.3502505571160864,-0.8980870832771656,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0
0,0.5956921474426305,0.46989994112804756,0.6046922332519411,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
0,-0.055833672077855064,0.47987072312904416,0.09594215065214973,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
0,0.7178532386027215,-1.4827115340671475,-0.5950826547730361,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0
0,-0.9109613101984924,0.5014740841312035,-0.614296170878678,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
0,-1.2774445836787656,-0.5221928679711283,-0.9841398115528358,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0.7992939660427822,-1.4744025490663168,-0.5246036835244418,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
1,1.2879383306831464,1.5567151792366918,2.1261777055302837,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0
0,1.2064976032430856,-1.3464441800535252,-0.3772706478532799,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0
0,-1.1960038562387048,-0.00869759491979612,-0.9275139839487225,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
1,0.9621754209229036,1.5201556452330371,1.702862695120103,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0
0,0.5549717837226001,-0.3028356639492,0.18049485700453238,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,-0.9924020376385531,-0.33607160395252245,-0.7930193712092296,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-0.0965540357978854,0.3319707901142591,-0.07431033764101187,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
0,0.5142514200025698,-1.2916048790480432,-0.4690366949250022,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
0,-1.2774445836787656,0.48485611412954227,-0.9707719691188302,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
0,-0.8702409464784621,-0.47233895796614456,-0.7563570706724021,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0,-1.0331224013585834,0.34526516611558833,-0.7865560414515337,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0.3920903288424788,1.2974748472107767,0.9034392465914449,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
0,0.6771328748826912,-1.4827115340671475,-0.5763544398778698,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0
0,-0.9516816739185228,1.1479131171958254,-0.6004430272341968,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0
0,0.10704778280226633,-0.08680205392760396,-0.028361136667358768,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
0,0.6364125111626608,-1.4660935640654862,-0.5394494887358046,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0
0,0.5549717837226001,-1.4893587220678117,-0.5967591498637697,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1
0,-0.13727439951791576,-1.0307027500219619,-0.5605159730996254,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,-0.0965540357978854,0.574593152138513,0.12814850371097536,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,-1.2774445836787656,0.3303089931140931,-0.9728234696903856,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,1.369379058123207,0.6394032351449919,1.5152496589794784,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1.3286586944031769,1.5384354122348645,2.1297071688791958,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0
0,1.6137012404433893,1.2010906212011416,2.2850256153772723,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0
0,-0.8295205827584317,0.47156173812821356,-0.5966488541341161,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,1.5729808767233588,0.06940686408801149,1.0892654919116826,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0
0,-1.1145631287986442,-1.4527991880641573,-0.9555511584266455,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
0,0.7992939660427822,-1.4544609850643233,-0.5173021062213792,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0
1,-0.30015585439803716,1.1213243651931677,0.10357461514417286,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
0,-1.2774445836787656,-1.481049737066981,-0.9968679387548512,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
0,-1.2774445836787656,-1.505976692069473,-0.9971988259438118,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0
0,0.22920887396235737,1.0049985751815391,0.5849492976439624,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
1,1.369379058123207,-0.6385186579827569,0.3297911566635268,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,1.4508197855632678,1.503537675231376,2.352438365341499,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0
0,-1.1145631287986442,-1.3447823830533592,-0.9615733052657274,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1.6137012404433893,1.3091074262119398,2.2162010800734806,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0
0,-0.015113308357824713,-1.150352134033923,-0.5965164992585318,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0.43281069256250915,0.9833952141793793,0.7242307450504181,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
0,1.6137012404433893,-1.5076384890696393,-0.4043372199102518,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
0,0.9214550572028734,1.0631614701873533,1.3055333586162896,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
0,0.7992939660427822,-0.22639300194155818,0.3364089004427376,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
0,0.43281069256250915,0.893658176170409,0.7387015447809587,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
1,0.18848851024232702,0.39013368512007346,0.25959895431203156,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,1.2879383306831464,-0.33773340095268845,0.504609888164344,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0
0,-1.1960038562387048,0.8338334841644282,-0.8961899967271251,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0.14776814652229667,-1.1204397880309327,-0.5088534533299203,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,-0.9109613101984924,1.1794872601989819,-0.536074439408407,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
0,0.35136996512244845,-1.4660935640654862,-0.6373259192303314,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1
0,-0.21871512695797646,0.6792863631489789,-0.056530666020865795,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
0,0.9621754209229036,1.1645310871974868,1.4275424947590052,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0
0,-1.0738427650786138,-1.46443176706532,-0.9560364596371209,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
0,-1.1960038562387048,0.32033821111309646,-0.9045062947429998,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,-1.0331224013585834,-0.467353566965646,-0.8512113981744227,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,-1.1552834925186746,-1.4594463760648215,-0.9780294281300312,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
0,0.025607055362205634,0.8039211381614382,0.3299676298309725,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0
1,-0.21871512695797646,0.44164939212522314,-0.06363371101055196,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
0,1.6137012404433893,-1.3697093380558512,-0.24520254116616408,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0
0,-1.2774445836787656,-1.4960059100684764,-0.9970664710682275,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
1,1.5729808767233588,-0.2762469119465419,0.7524885109876478,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0
0,-0.7888002190384014,0.7042133181514708,-0.4694558186976855,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
0,-0.30015585439803716,-0.2047896409393986,-0.34283632105545325,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0
0,1.4100994218432374,-0.47233895796614456,0.4325205992628083,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,-1.2774445836787656,-0.9742016520163136,-0.990139899245987,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
0,-1.2367242199587352,-0.6784017859867437,-0.9699337215734635,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0.43281069256250915,-1.2982520670487077,-0.4815662898136412,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0
0,-0.38159658183809786,0.3402797751150897,-0.22113601295576768,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1.2879383306831464,-1.481049737066981,-0.44205835945175304,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1
0,1.002895784642934,-1.5009913010689746,-0.4893531683271792,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1
1,-1.2774445836787656,0.18905624809997262,-0.9746984970944953,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,1.6137012404433893,0.7740087921584478,1.829107187281513,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0
0,-0.9924020376385531,0.21232140610229844,-0.7571070816340459,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
